"title","genre","year","num_injured","num_deaths"
"call of duty: modern warfare 2","shooter",2009,2,3
"call of duty: modern warfare 2","shooter",2009,1,4
"call of duty: modern warfare 2","shooter",2009,31,13
"call of duty: modern warfare 2","shooter",2009,4,14
"call of duty: modern warfare 2","shooter",2009,3,8
"grand theft auto iv","action",2008,27,9
"grand theft auto iv","action",2008,26,22
"grand theft auto iv","action",2008,1,6
"grand theft auto iv","action",2008,21,5
"grand theft auto iv","action",2008,2,6
"super mario all-stars","platform",1993,1,4
"super mario all-stars","platform",1993,19,6
"super mario all-stars","platform",1993,8,4
"super mario all-stars","platform",1993,6,9
"pokemon firered/pokemon leafgreen","role-playing",2004,7,5
"super mario 64","platform",2004,7,5
"just dance 3","misc",2011,22,12
"just dance 3","misc",2011,20,26
"just dance 3","misc",2011,0,3
"just dance 3","misc",2011,1,8
"just dance 3","misc",2011,7,5
"just dance 3","misc",2011,13,6
"call of duty: ghosts","shooter",2013,8,12
"call of duty: ghosts","shooter",2013,0,7
"call of duty: ghosts","shooter",2013,3,6
"call of duty: ghosts","shooter",2013,0,5
"call of duty: ghosts","shooter",2013,2,5
"halo: reach","shooter",2010,546,58
"halo: reach","shooter",2010,2,9
"mario kart 64","racing",1996,1,6
"new super mario bros. 2","platform",2012,3,4
"new super mario bros. 2","platform",2012,8,3
"new super mario bros. 2","platform",2012,2,27
"new super mario bros. 2","platform",2012,1,7
"new super mario bros. 2","platform",2012,3,7
"new super mario bros. 2","platform",2012,70,12
"new super mario bros. 2","platform",2012,1,6
"new super mario bros. 2","platform",2012,3,7
"new super mario bros. 2","platform",2012,0,5
"halo 4","shooter",2012,3,4
"halo 4","shooter",2012,8,3
"halo 4","shooter",2012,2,27
"halo 4","shooter",2012,1,7
"halo 4","shooter",2012,3,7
"halo 4","shooter",2012,70,12
"halo 4","shooter",2012,1,6
"halo 4","shooter",2012,3,7
"halo 4","shooter",2012,0,5
"final fantasy vii","role-playing",1997,2,5
"final fantasy vii","role-playing",1997,3,4
"call of duty: ghosts","shooter",2013,8,12
"call of duty: ghosts","shooter",2013,0,7
"call of duty: ghosts","shooter",2013,3,6
"call of duty: ghosts","shooter",2013,0,5
"call of duty: ghosts","shooter",2013,2,5
"just dance 2","misc",2010,546,58
"just dance 2","misc",2010,2,9
"gran turismo 2","racing",1999,3,5
"gran turismo 2","racing",1999,0,7
"gran turismo 2","racing",1999,7,8
"gran turismo 2","racing",1999,13,9
"gran turismo 2","racing",1999,24,13
"call of duty 4: modern warfare","shooter",2007,46,7
"call of duty 4: modern warfare","shooter",2007,4,9
"call of duty 4: modern warfare","shooter",2007,1,6
"call of duty 4: modern warfare","shooter",2007,23,32
"call of duty 4: modern warfare","shooter",2007,4,6
"donkey kong country","platform",1994,23,5
"minecraft","misc",2013,8,12
"minecraft","misc",2013,0,7
"minecraft","misc",2013,3,6
"minecraft","misc",2013,0,5
"minecraft","misc",2013,2,5
"animal crossing: new leaf","simulation",2012,3,4
"animal crossing: new leaf","simulation",2012,8,3
"animal crossing: new leaf","simulation",2012,2,27
"animal crossing: new leaf","simulation",2012,1,7
"animal crossing: new leaf","simulation",2012,3,7
"animal crossing: new leaf","simulation",2012,70,12
"animal crossing: new leaf","simulation",2012,1,6
"animal crossing: new leaf","simulation",2012,3,7
"animal crossing: new leaf","simulation",2012,0,5
"mario party ds","misc",2007,46,7
"mario party ds","misc",2007,4,9
"mario party ds","misc",2007,1,6
"mario party ds","misc",2007,23,32
"mario party ds","misc",2007,4,6
"the elder scrolls v: skyrim","role-playing",2011,22,12
"the elder scrolls v: skyrim","role-playing",2011,20,26
"the elder scrolls v: skyrim","role-playing",2011,0,3
"the elder scrolls v: skyrim","role-playing",2011,1,8
"the elder scrolls v: skyrim","role-playing",2011,7,5
"the elder scrolls v: skyrim","role-playing",2011,13,6
"super mario kart","racing",1992,0,5
"super mario kart","racing",1992,10,4
"fifa 16","sports",2015,21,14
"fifa 16","sports",2015,9,3
"fifa 16","sports",2015,0,3
"fifa 16","sports",2015,9,9
"fifa 16","sports",2015,2,5
"fifa 16","sports",2015,1,9
"fifa 16","sports",2015,1,3
"wii party","misc",2010,546,58
"wii party","misc",2010,2,9
"halo 2","shooter",2004,7,5
"mario party 8","misc",2007,46,7
"mario party 8","misc",2007,4,9
"mario party 8","misc",2007,1,6
"mario party 8","misc",2007,23,32
"mario party 8","misc",2007,4,6
"pokemon black 2/pokemon white 2","role-playing",2012,3,4
"pokemon black 2/pokemon white 2","role-playing",2012,8,3
"pokemon black 2/pokemon white 2","role-playing",2012,2,27
"pokemon black 2/pokemon white 2","role-playing",2012,1,7
"pokemon black 2/pokemon white 2","role-playing",2012,3,7
"pokemon black 2/pokemon white 2","role-playing",2012,70,12
"pokemon black 2/pokemon white 2","role-playing",2012,1,6
"pokemon black 2/pokemon white 2","role-playing",2012,3,7
"pokemon black 2/pokemon white 2","role-playing",2012,0,5
"fifa soccer 13","action",2012,3,4
"fifa soccer 13","action",2012,8,3
"fifa soccer 13","action",2012,2,27
"fifa soccer 13","action",2012,1,7
"fifa soccer 13","action",2012,3,7
"fifa soccer 13","action",2012,70,12
"fifa soccer 13","action",2012,1,6
"fifa soccer 13","action",2012,3,7
"fifa soccer 13","action",2012,0,5
"the sims 3","simulation",2009,0,5
"the sims 3","simulation",2009,2,3
"the sims 3","simulation",2009,1,4
"the sims 3","simulation",2009,31,13
"the sims 3","simulation",2009,4,14
"the sims 3","simulation",2009,3,8
"goldeneye 007","shooter",1997,2,5
"goldeneye 007","shooter",1997,3,4
"mario & sonic at the olympic games","sports",2007,46,7
"mario & sonic at the olympic games","sports",2007,4,9
"mario & sonic at the olympic games","sports",2007,1,6
"mario & sonic at the olympic games","sports",2007,23,32
"mario & sonic at the olympic games","sports",2007,4,6
"final fantasy x","role-playing",2001,4,5
"final fantasy viii","role-playing",1999,3,5
"final fantasy viii","role-playing",1999,0,7
"final fantasy viii","role-playing",1999,7,8
"final fantasy viii","role-playing",1999,13,9
"final fantasy viii","role-playing",1999,24,13
"pokémon platinum version","role-playing",2008,27,9
"pokémon platinum version","role-playing",2008,26,22
"pokémon platinum version","role-playing",2008,1,6
"pokémon platinum version","role-playing",2008,21,5
"pokémon platinum version","role-playing",2008,2,6
"pac-man","puzzle",1982,3,8
"grand theft auto: liberty city stories","action",2005,5,10
"grand theft auto: liberty city stories","action",2005,4,7
"super mario galaxy 2","platform",2010,546,58
"super mario galaxy 2","platform",2010,2,9
"star wars battlefront (2015)","shooter",2015,21,14
"star wars battlefront (2015)","shooter",2015,9,3
"star wars battlefront (2015)","shooter",2015,0,3
"star wars battlefront (2015)","shooter",2015,9,9
"star wars battlefront (2015)","shooter",2015,2,5
"star wars battlefront (2015)","shooter",2015,1,9
"star wars battlefront (2015)","shooter",2015,1,3
"call of duty: advanced warfare","shooter",2014,1,5
"call of duty: advanced warfare","shooter",2014,13,6
"call of duty: advanced warfare","shooter",2014,12,3
"call of duty: advanced warfare","shooter",2014,2,4
"the legend of zelda: ocarina of time","action",1998,25,4
"the legend of zelda: ocarina of time","action",1998,10,5
"the legend of zelda: ocarina of time","action",1998,1,5
"crash bandicoot 2: cortex strikes back","platform",1997,2,5
"crash bandicoot 2: cortex strikes back","platform",1997,3,4
"super mario bros. 2","platform",1988,4,7
"super smash bros. for wii u and 3ds","fighting",2014,1,5
"super smash bros. for wii u and 3ds","fighting",2014,13,6
"super smash bros. for wii u and 3ds","fighting",2014,12,3
"super smash bros. for wii u and 3ds","fighting",2014,2,4
"call of duty: world at war","shooter",2008,27,9
"call of duty: world at war","shooter",2008,26,22
"call of duty: world at war","shooter",2008,1,6
"call of duty: world at war","shooter",2008,21,5
"call of duty: world at war","shooter",2008,2,6
"battlefield 3","shooter",2011,22,12
"battlefield 3","shooter",2011,20,26
"battlefield 3","shooter",2011,0,3
"battlefield 3","shooter",2011,1,8
"battlefield 3","shooter",2011,7,5
"battlefield 3","shooter",2011,13,6
"the legend of zelda: twilight princess","action",2006,1,3
"the legend of zelda: twilight princess","action",2006,10,4
"the legend of zelda: twilight princess","action",2006,0,3
"the legend of zelda: twilight princess","action",2006,5,6
"the legend of zelda: twilight princess","action",2006,2,7
"the legend of zelda: twilight princess","action",2006,0,8
"call of duty: black ops 3","shooter",2015,21,14
"call of duty: black ops 3","shooter",2015,9,3
"call of duty: black ops 3","shooter",2015,0,3
"call of duty: black ops 3","shooter",2015,9,9
"call of duty: black ops 3","shooter",2015,2,5
"call of duty: black ops 3","shooter",2015,1,9
"call of duty: black ops 3","shooter",2015,1,3
"just dance","misc",2009,0,5
"just dance","misc",2009,2,3
"just dance","misc",2009,1,4
"just dance","misc",2009,31,13
"just dance","misc",2009,4,14
"just dance","misc",2009,3,8
"battlefield 3","shooter",2011,22,12
"battlefield 3","shooter",2011,20,26
"battlefield 3","shooter",2011,0,3
"battlefield 3","shooter",2011,1,8
"battlefield 3","shooter",2011,7,5
"battlefield 3","shooter",2011,13,6
"need for speed underground","racing",2003,0,3
"need for speed underground","racing",2003,8,7
"tekken 3","fighting",1998,25,4
"tekken 3","fighting",1998,10,5
"tekken 3","fighting",1998,1,5
"crash bandicoot 3: warped","platform",1998,25,4
"crash bandicoot 3: warped","platform",1998,10,5
"crash bandicoot 3: warped","platform",1998,1,5
"super smash bros. melee","fighting",2001,4,5
"mario kart 8","racing",2014,1,5
"mario kart 8","racing",2014,13,6
"mario kart 8","racing",2014,12,3
"mario kart 8","racing",2014,2,4
"fallout 4","role-playing",2015,21,14
"fallout 4","role-playing",2015,9,3
"fallout 4","role-playing",2015,0,3
"fallout 4","role-playing",2015,9,9
"fallout 4","role-playing",2015,2,5
"fallout 4","role-playing",2015,1,9
"fallout 4","role-playing",2015,1,3
"mario kart: double dash!!","racing",2003,0,3
"mario kart: double dash!!","racing",2003,8,7
"just dance 4","misc",2012,3,4
"just dance 4","misc",2012,8,3
"just dance 4","misc",2012,2,27
"just dance 4","misc",2012,1,7
"just dance 4","misc",2012,3,7
"just dance 4","misc",2012,70,12
"just dance 4","misc",2012,1,6
"just dance 4","misc",2012,3,7
"just dance 4","misc",2012,0,5
"fifa 14","sports",2013,8,12
"fifa 14","sports",2013,0,7
"fifa 14","sports",2013,3,6
"fifa 14","sports",2013,0,5
"fifa 14","sports",2013,2,5
"need for speed underground 2","racing",2004,7,5
"uncharted 3: drake's deception","action",2011,22,12
"uncharted 3: drake's deception","action",2011,20,26
"uncharted 3: drake's deception","action",2011,0,3
"uncharted 3: drake's deception","action",2011,1,8
"uncharted 3: drake's deception","action",2011,7,5
"uncharted 3: drake's deception","action",2011,13,6
"crash bandicoot","platform",1996,1,6
"zumba fitness","sports",2010,546,58
"zumba fitness","sports",2010,2,9
"gears of war 2","shooter",2008,27,9
"gears of war 2","shooter",2008,26,22
"gears of war 2","shooter",2008,1,6
"gears of war 2","shooter",2008,21,5
"gears of war 2","shooter",2008,2,6
"uncharted 2: among thieves","action",2009,0,5
"uncharted 2: among thieves","action",2009,2,3
"uncharted 2: among thieves","action",2009,1,4
"uncharted 2: among thieves","action",2009,31,13
"uncharted 2: among thieves","action",2009,4,14
"uncharted 2: among thieves","action",2009,3,8
"call of duty 4: modern warfare","shooter",2007,46,7
"call of duty 4: modern warfare","shooter",2007,4,9
"call of duty 4: modern warfare","shooter",2007,1,6
"call of duty 4: modern warfare","shooter",2007,23,32
"call of duty 4: modern warfare","shooter",2007,4,6
"fifa 12","sports",2011,22,12
"fifa 12","sports",2011,20,26
"fifa 12","sports",2011,0,3
"fifa 12","sports",2011,1,8
"fifa 12","sports",2011,7,5
"fifa 12","sports",2011,13,6
"big brain academy","misc",2005,5,10
"big brain academy","misc",2005,4,7
"red dead redemption","action",2010,546,58
"red dead redemption","action",2010,2,9
"fifa 15","sports",2014,1,5
"fifa 15","sports",2014,13,6
"fifa 15","sports",2014,12,3
"fifa 15","sports",2014,2,4
"donkey kong country returns","platform",2010,546,58
"donkey kong country returns","platform",2010,2,9
"the elder scrolls v: skyrim","role-playing",2011,22,12
"the elder scrolls v: skyrim","role-playing",2011,20,26
"the elder scrolls v: skyrim","role-playing",2011,0,3
