video_game_key,game_key,na_sales,eu_sales,jp_sales,other_sales,global_sales,date_key
67,67,3.01,2.47,3.28,0.96,9.72,"[118, 119]"
68,68,4.09,3.73,0.38,1.38,9.59,"[74, 75, 76, 77, 78]"
69,69,5.84,2.89,0.01,0.78,9.52,"[50, 89]"
70,70,3.88,3.42,1.69,0.5,9.49,"[110, 111, 112, 113, 114]"
71,71,5.91,2.38,0.13,0.9,9.32,"[10, 97, 98, 99, 100]"
72,72,4.36,1.71,3.0,0.23,9.3,[122]
73,73,5.58,2.83,0.02,0.77,9.2,"[74, 75, 76, 77, 78]"
74,74,2.01,2.32,4.36,0.41,9.09,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
75,75,4.46,1.88,1.98,0.7,9.02,"[10, 97, 98, 99, 100]"
76,76,5.03,2.86,0.1,0.85,8.84,"[35, 47, 48, 86, 87, 88]"
77,77,3.54,1.24,3.81,0.18,8.76,"[127, 128]"
78,78,1.11,6.06,0.06,1.26,8.49,"[63, 64, 65, 66, 67, 68, 69]"
79,79,1.79,3.53,2.49,0.68,8.49,"[50, 89]"
80,80,6.82,1.53,0.05,0.08,8.49,[106]
81,81,3.81,2.3,1.58,0.73,8.42,"[10, 97, 98, 99, 100]"
82,82,2.91,1.86,3.14,0.43,8.33,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
83,83,1.06,5.05,0.13,2.01,8.24,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
84,84,0.98,6.42,0.0,0.71,8.11,"[38, 39, 90, 91, 92, 93]"
85,85,5.8,2.01,0.13,0.15,8.09,"[118, 119]"
86,86,2.58,3.9,0.66,0.91,8.06,"[10, 97, 98, 99, 100]"
87,87,2.91,2.07,2.73,0.33,8.05,[108]
88,88,2.28,1.72,3.63,0.23,7.86,"[110, 111, 112, 113, 114]"
89,89,2.82,1.78,2.69,0.55,7.84,"[27, 28, 94, 95, 96]"
90,90,7.28,0.45,0.0,0.08,7.81,[140]
91,91,2.9,2.83,0.24,1.75,7.72,"[104, 105]"
92,92,3.66,2.42,0.98,0.64,7.69,"[50, 89]"
93,93,2.93,3.29,0.22,1.23,7.67,"[63, 64, 65, 66, 67, 68, 69]"
94,94,2.8,3.3,0.14,1.37,7.6,"[70, 71, 72, 73]"
95,95,4.1,1.89,1.45,0.16,7.6,"[115, 116, 117]"
96,96,3.78,2.17,1.31,0.31,7.58,"[118, 119]"
97,97,5.39,1.18,0.7,0.19,7.46,[135]
98,98,3.24,1.35,2.42,0.43,7.45,"[70, 71, 72, 73]"
99,99,4.79,1.9,0.0,0.69,7.37,"[27, 28, 94, 95, 96]"
100,100,4.46,2.13,0.06,0.69,7.34,"[35, 47, 48, 86, 87, 88]"
101,101,3.83,2.19,0.6,0.7,7.31,"[12, 13, 52, 101, 102, 103]"
102,102,4.52,2.09,0.01,0.67,7.3,"[63, 64, 65, 66, 67, 68, 69]"
103,103,3.51,3.03,0.0,0.73,7.27,"[38, 39, 90, 91, 92, 93]"
104,104,2.85,2.93,0.35,1.1,7.23,"[35, 47, 48, 86, 87, 88]"
105,105,3.27,2.83,0.08,1.02,7.2,"[43, 107]"
106,106,3.27,2.22,1.4,0.29,7.16,"[115, 116, 117]"
107,107,3.68,1.75,1.42,0.28,7.13,"[115, 116, 117]"
108,108,4.41,1.04,1.39,0.22,7.07,[108]
109,109,3.13,2.07,1.27,0.49,6.96,"[70, 71, 72, 73]"
110,110,2.47,3.15,0.24,1.1,6.96,"[63, 64, 65, 66, 67, 68, 69]"
111,111,4.12,1.77,0.87,0.19,6.95,"[43, 107]"
112,112,4.14,2.21,0.0,0.56,6.91,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
113,113,0.78,4.32,0.07,1.73,6.9,"[74, 75, 76, 77, 78]"
114,114,2.71,3.02,0.08,1.09,6.9,[106]
115,115,2.93,2.75,0.17,0.99,6.83,
116,116,2.77,2.8,0.19,1.06,6.83,"[35, 47, 48, 86, 87, 88]"
117,117,3.23,2.35,0.94,0.3,6.82,[120]
118,118,3.5,2.64,0.0,0.67,6.81,"[50, 89]"
119,119,4.15,1.92,0.06,0.64,6.76,"[27, 28, 94, 95, 96]"
120,120,3.27,2.25,0.21,1.0,6.73,"[38, 39, 90, 91, 92, 93]"
121,121,3.1,2.3,0.28,1.04,6.72,"[10, 97, 98, 99, 100]"
122,122,0.84,4.32,0.11,1.42,6.69,"[35, 47, 48, 86, 87, 88]"
123,123,1.67,2.78,1.6,0.62,6.67,"[104, 105]"
124,124,2.79,2.61,0.17,1.03,6.6,"[50, 89]"
125,125,0.79,4.29,0.05,1.47,6.59,"[70, 71, 72, 73]"
126,126,3.25,1.84,1.03,0.47,6.59,"[50, 89]"
127,127,2.55,2.71,0.25,1.05,6.56,"[35, 47, 48, 86, 87, 88]"
128,128,3.74,0.93,1.69,0.14,6.51,[137]
129,129,2.64,2.56,0.16,1.14,6.5,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
130,130,4.98,1.3,0.08,0.07,6.43,[108]
131,131,2.57,1.58,2.06,0.21,6.41,[106]
132,132,3.64,1.2,1.49,0.07,6.4,
133,133,2.55,1.56,1.29,0.99,6.39,[109]
134,134,4.34,1.35,0.06,0.61,6.36,"[38, 39, 90, 91, 92, 93]"
135,135,3.7,1.97,0.09,0.57,6.34,"[50, 89]"
136,136,4.01,1.26,0.87,0.17,6.31,
137,137,2.47,0.83,2.87,0.12,6.3,"[127, 128]"
138,138,0.07,6.21,0.0,0.0,6.28,[106]
139,139,3.11,2.8,0.02,0.33,6.27,"[110, 111, 112, 113, 114]"
140,140,3.92,1.78,0.03,0.51,6.24,"[50, 89]"
141,141,4.05,1.62,0.07,0.49,6.24,"[35, 47, 48, 86, 87, 88]"
142,142,3.54,1.9,0.07,0.6,6.11,"[12, 13, 52, 101, 102, 103]"
143,143,2.45,2.01,0.87,0.72,6.05,[108]
144,144,4.47,1.2,0.16,0.19,6.03,"[127, 128]"
145,145,2.63,1.74,0.83,0.83,6.03,"[27, 28, 94, 95, 96]"
146,146,3.18,1.83,0.78,0.24,6.03,"[115, 116, 117]"
147,147,2.41,2.28,0.28,1.01,5.99,"[74, 75, 76, 77, 78]"
148,148,1.88,0.0,2.33,1.74,5.95,"[12, 13, 52, 101, 102, 103]"
149,149,2.8,2.05,0.17,0.9,5.92,"[27, 28, 94, 95, 96]"
150,150,0.66,0.69,4.35,0.15,5.84,"[38, 39, 90, 91, 92, 93]"
151,151,3.66,1.63,0.0,0.53,5.83,"[10, 97, 98, 99, 100]"
152,152,1.88,1.47,2.02,0.45,5.82,"[115, 116, 117]"
153,153,2.26,1.89,1.36,0.23,5.74,[120]
154,154,3.13,1.94,0.07,0.58,5.72,"[12, 13, 52, 101, 102, 103]"
155,155,2.49,2.05,0.16,0.96,5.65,"[70, 71, 72, 73]"
156,156,2.97,0.69,1.81,0.11,5.58,[135]
157,157,2.54,1.95,0.21,0.87,5.57,"[38, 39, 90, 91, 92, 93]"
158,158,2.95,0.6,1.97,0.04,5.55,"[110, 111, 112, 113, 114]"
159,159,3.28,1.65,0.07,0.55,5.55,"[10, 97, 98, 99, 100]"
160,160,2.7,1.91,0.11,0.8,5.53,"[35, 47, 48, 86, 87, 88]"
161,161,2.99,1.92,0.1,0.51,5.51,"[38, 39, 90, 91, 92, 93]"
162,162,0.47,0.57,4.13,0.34,5.5,"[27, 28, 94, 95, 96]"
163,163,3.14,1.24,0.91,0.2,5.49,[108]
164,164,2.62,1.64,0.99,0.23,5.47,[108]
165,165,3.21,1.11,0.95,0.2,5.46,[108]
166,166,3.18,1.24,0.94,0.09,5.45,"[110, 111, 112, 113, 114]"
167,167,2.72,1.87,0.0,0.84,5.43,"[27, 28, 94, 95, 96]"
168,168,2.07,2.29,0.24,0.82,5.42,[108]
169,169,1.97,2.51,0.0,0.94,5.42,"[70, 71, 72, 73]"
170,170,1.74,1.24,1.87,0.52,5.36,"[38, 39, 90, 91, 92, 93]"
171,171,2.18,0.96,2.0,0.2,5.34,"[133, 134]"
172,172,3.02,1.12,1.01,0.16,5.31,"[110, 111, 112, 113, 114]"
173,173,3.13,1.71,0.03,0.44,5.3,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
174,174,1.62,0.77,2.78,0.14,5.3,[109]
175,175,1.92,1.08,2.11,0.17,5.29,"[43, 107]"
176,176,3.33,0.79,1.09,0.06,5.27,"[110, 111, 112, 113, 114]"
177,177,3.1,1.56,0.08,0.51,5.27,"[38, 39, 90, 91, 92, 93]"
178,178,1.22,2.48,1.03,0.52,5.26,"[10, 97, 98, 99, 100]"
179,179,2.3,2.46,0.2,0.28,5.24,"[118, 119]"
180,180,4.26,0.26,0.01,0.71,5.23,
181,181,0.65,0.75,3.61,0.2,5.21,[106]
182,182,2.43,2.15,0.0,0.62,5.2,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
183,183,2.93,1.25,0.83,0.2,5.2,"[43, 107]"
184,184,2.32,1.3,1.27,0.31,5.19,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
185,185,2.49,0.98,1.57,0.15,5.19,[122]
186,186,1.08,3.48,0.03,0.58,5.18,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
187,187,1.9,1.83,0.95,0.49,5.17,"[10, 97, 98, 99, 100]"
188,188,2.1,0.74,2.2,0.11,5.15,[121]
189,189,0.96,2.02,1.89,0.28,5.15,"[74, 75, 76, 77, 78]"
190,190,1.64,2.48,0.44,0.58,5.14,"[27, 28, 94, 95, 96]"
191,191,1.98,2.23,0.13,0.8,5.13,"[43, 107]"
192,192,2.71,0.61,1.7,0.11,5.13,"[127, 128]"
193,193,3.59,1.11,0.05,0.38,5.13,"[50, 89]"
194,194,3.21,1.53,0.01,0.38,5.13,"[70, 71, 72, 73]"
195,195,3.22,1.69,0.0,0.2,5.12,[120]
196,196,3.81,0.63,0.0,0.68,5.12,"[12, 13, 52, 101, 102, 103]"
197,197,1.96,1.43,1.08,0.65,5.11,"[38, 39, 90, 91, 92, 93]"
198,198,2.66,2.01,0.0,0.41,5.08,"[70, 71, 72, 73]"
199,199,1.7,2.02,0.16,1.21,5.08,"[12, 13, 52, 101, 102, 103]"
200,200,0.6,3.29,0.06,1.13,5.08,"[50, 89]"
201,201,3.4,1.3,0.15,0.22,5.07,"[110, 111, 112, 113, 114]"
202,202,2.05,1.16,1.11,0.73,5.05,[120]
203,203,3.42,1.38,0.02,0.2,5.02,"[110, 111, 112, 113, 114]"
204,204,2.59,1.06,0.8,0.57,5.02,"[70, 71, 72, 73]"
205,205,2.79,1.89,0.0,0.33,5.01,"[110, 111, 112, 113, 114]"
206,206,3.36,1.36,0.07,0.21,5.0,"[115, 116, 117]"
207,207,3.06,1.18,0.29,0.46,5.0,"[10, 97, 98, 99, 100]"
208,208,3.49,0.01,0.01,1.48,4.98,"[10, 97, 98, 99, 100]"
209,209,3.39,1.03,0.09,0.44,4.96,"[27, 28, 94, 95, 96]"
210,210,1.85,1.2,1.54,0.37,4.96,"[10, 97, 98, 99, 100]"
211,211,2.31,1.73,0.12,0.78,4.94,"[10, 97, 98, 99, 100]"
212,212,3.98,0.26,0.01,0.66,4.91,"[104, 105]"
213,213,2.89,1.54,0.0,0.46,4.9,"[10, 97, 98, 99, 100]"
214,214,2.91,0.99,0.89,0.1,4.88,"[118, 119]"
215,215,0.0,0.0,4.87,0.0,4.87,"[50, 89]"
216,216,2.62,0.6,1.52,0.1,4.85,[132]
217,217,2.74,1.36,0.12,0.63,4.84,"[50, 89]"
218,218,2.56,1.68,0.0,0.59,4.83,"[50, 89]"
219,219,1.91,2.0,0.09,0.83,4.83,"[10, 97, 98, 99, 100]"
220,220,0.57,3.14,0.04,1.07,4.82,"[70, 71, 72, 73]"
221,221,2.57,1.57,0.44,0.21,4.79,"[110, 111, 112, 113, 114]"
222,222,0.28,3.75,0.06,0.69,4.77,"[57, 58, 59, 60, 61, 62]"
223,223,2.99,1.31,0.04,0.41,4.76,"[35, 47, 48, 86, 87, 88]"
224,224,2.36,2.1,0.02,0.25,4.73,[109]
225,225,1.73,2.19,0.0,0.79,4.7,"[43, 107]"
226,226,3.05,1.41,0.02,0.2,4.68,[109]
227,227,1.87,1.12,1.32,0.37,4.68,"[27, 28, 94, 95, 96]"
228,228,1.94,1.95,0.08,0.7,4.67,
229,229,2.08,2.04,0.06,0.47,4.64,"[35, 47, 48, 86, 87, 88]"
230,230,2.29,1.97,0.13,0.24,4.63,[120]
231,231,3.06,1.12,0.0,0.44,4.62,"[10, 97, 98, 99, 100]"
232,232,2.42,0.91,1.15,0.13,4.61,"[129, 130, 131]"
233,233,2.6,0.99,0.89,0.13,4.6,
234,234,1.89,1.99,0.22,0.48,4.58,"[38, 39, 90, 91, 92, 93]"
235,235,1.78,1.39,1.1,0.3,4.58,"[74, 75, 76, 77, 78]"
236,236,1.55,1.15,1.44,0.43,4.57,"[63, 64, 65, 66, 67, 68, 69]"
237,237,1.78,1.87,0.07,0.82,4.55,"[70, 71, 72, 73]"
238,238,3.19,0.92,0.01,0.42,4.53,"[10, 97, 98, 99, 100]"
239,239,4.18,0.26,0.01,0.08,4.53,[106]
240,240,4.21,0.24,0.0,0.05,4.5,
241,241,3.63,0.24,0.01,0.61,4.49,"[12, 13, 52, 101, 102, 103]"
242,242,2.71,1.51,0.03,0.23,4.48,
243,243,0.2,0.14,4.1,0.02,4.47,[109]
244,244,1.96,1.69,0.08,0.74,4.47,"[63, 64, 65, 66, 67, 68, 69]"
245,245,1.54,1.94,0.19,0.77,4.45,"[70, 71, 72, 73]"
246,246,2.71,1.29,0.02,0.43,4.45,"[104, 105]"
247,247,2.55,1.11,0.46,0.33,4.44,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
248,248,2.67,1.35,0.01,0.39,4.42,"[50, 89]"
249,249,2.66,1.29,0.01,0.46,4.41,[108]
250,250,0.1,2.39,1.05,0.86,4.39,"[12, 13, 52, 101, 102, 103]"
251,251,2.82,1.05,0.13,0.4,4.39,"[12, 13, 52, 101, 102, 103]"
252,252,2.19,0.5,1.61,0.08,4.38,[136]
253,253,2.03,1.79,0.08,0.47,4.37,"[104, 105]"
254,254,1.73,1.73,0.14,0.75,4.35,"[12, 13, 52, 101, 102, 103]"
255,255,3.03,0.91,0.26,0.13,4.34,"[129, 130, 131]"
256,256,2.2,0.58,1.38,0.17,4.33,"[104, 105]"
257,257,0.92,2.93,0.01,0.46,4.31,"[74, 75, 76, 77, 78]"
258,258,2.75,1.18,0.0,0.37,4.31,"[70, 71, 72, 73]"
259,259,4.0,0.26,0.0,0.05,4.31,
260,260,2.51,1.27,0.11,0.41,4.31,"[27, 28, 94, 95, 96]"
261,261,2.64,1.2,0.03,0.39,4.26,"[63, 64, 65, 66, 67, 68, 69]"
262,262,2.11,1.11,0.72,0.3,4.25,"[74, 75, 76, 77, 78]"
263,263,2.23,1.34,0.07,0.61,4.25,"[38, 39, 90, 91, 92, 93]"
264,264,1.41,2.02,0.1,0.72,4.24,"[35, 47, 48, 86, 87, 88]"
265,265,3.0,1.11,0.05,0.07,4.24,[108]
266,266,1.46,0.0,0.83,1.93,4.23,[106]
267,267,2.45,1.02,0.0,0.75,4.22,"[12, 13, 52, 101, 102, 103]"
268,268,1.7,2.27,0.0,0.23,4.21,[121]
269,269,2.03,1.27,0.62,0.3,4.21,"[35, 47, 48, 86, 87, 88]"
270,270,0.78,2.55,0.04,0.84,4.21,"[104, 105]"
271,271,0.88,2.3,0.2,0.83,4.2,"[43, 107]"
272,272,1.3,2.07,0.18,0.65,4.2,"[57, 58, 59, 60, 61, 62]"
273,273,1.28,1.83,0.57,0.53,4.2,"[10, 97, 98, 99, 100]"
274,274,2.25,1.47,0.04,0.43,4.19,"[35, 47, 48, 86, 87, 88]"
275,275,2.02,1.06,0.58,0.53,4.19,"[38, 39, 90, 91, 92, 93]"
276,276,0.84,2.79,0.02,0.53,4.19,"[35, 47, 48, 86, 87, 88]"
277,277,3.38,0.44,0.31,0.04,4.17,"[133, 134]"
278,278,2.04,0.48,1.57,0.07,4.16,"[138, 139]"
279,279,3.79,0.27,0.0,0.11,4.16,"[118, 119]"
280,280,3.36,0.21,0.01,0.56,4.14,
281,281,1.4,1.86,0.11,0.77,4.14,"[70, 71, 72, 73]"
282,282,4.03,0.0,0.09,0.0,4.12,"[118, 119]"
283,283,1.65,0.61,1.76,0.09,4.12,[121]
284,284,0.71,2.48,0.03,0.89,4.11,"[12, 13, 52, 101, 102, 103]"
285,285,2.14,1.2,0.37,0.4,4.1,"[35, 47, 48, 86, 87, 88]"
286,286,1.42,0.51,2.1,0.07,4.1,"[127, 128]"
287,287,2.13,1.5,0.05,0.42,4.1,"[10, 97, 98, 99, 100]"
288,288,2.45,1.26,0.01,0.37,4.09,"[63, 64, 65, 66, 67, 68, 69]"
289,289,2.57,1.52,0.0,0.0,4.09,"[10, 97, 98, 99, 100]"
290,290,2.65,1.06,0.04,0.33,4.08,"[50, 89]"
291,291,2.32,0.04,0.04,1.67,4.07,"[10, 97, 98, 99, 100]"
292,292,2.35,1.28,0.03,0.41,4.06,"[10, 97, 98, 99, 100]"
293,293,0.12,2.26,0.9,0.77,4.06,"[104, 105]"
294,294,2.28,1.55,0.16,0.06,4.05,[120]
295,295,1.68,1.51,0.51,0.35,4.05,[109]
296,296,1.12,2.12,0.1,0.69,4.03,"[70, 71, 72, 73]"
297,297,2.78,0.58,0.64,0.04,4.03,"[118, 119]"
298,298,1.38,1.87,0.12,0.65,4.02,"[70, 71, 72, 73]"
299,299,1.22,0.28,2.46,0.04,4.01,"[138, 139]"
300,300,2.15,1.2,0.07,0.59,4.01,"[27, 28, 94, 95, 96]"
301,301,0.92,1.78,0.92,0.37,4.0,"[10, 97, 98, 99, 100]"
302,302,2.67,0.89,0.05,0.37,3.99,"[38, 39, 90, 91, 92, 93]"
303,303,2.08,1.35,0.0,0.54,3.98,"[104, 105]"
304,304,2.1,1.36,0.06,0.4,3.92,"[38, 39, 90, 91, 92, 93]"
305,305,1.18,1.96,0.08,0.7,3.92,"[70, 71, 72, 73]"
306,306,1.97,0.76,1.07,0.11,3.91,[122]
307,307,2.29,1.17,0.01,0.42,3.9,"[43, 107]"
308,308,1.33,1.71,0.13,0.73,3.89,"[74, 75, 76, 77, 78]"
309,309,0.67,0.49,2.62,0.11,3.89,"[70, 71, 72, 73]"
310,310,1.53,1.61,0.06,0.67,3.88,"[12, 13, 52, 101, 102, 103]"
311,311,1.15,2.09,0.0,0.64,3.88,"[35, 47, 48, 86, 87, 88]"
312,312,0.93,1.94,0.31,0.7,3.87,"[104, 105]"
313,313,0.1,0.0,3.77,0.0,3.87,[135]
314,314,2.12,1.14,0.1,0.51,3.87,"[50, 89]"
315,315,2.48,0.65,0.03,0.69,3.85,"[63, 64, 65, 66, 67, 68, 69]"
316,316,0.16,1.89,1.12,0.68,3.85,[106]
317,317,0.87,1.57,1.05,0.35,3.84,"[10, 97, 98, 99, 100]"
318,318,2.12,1.44,0.22,0.06,3.84,[121]
319,319,2.21,0.96,0.54,0.13,3.83,"[127, 128]"
320,320,2.26,0.48,0.81,0.27,3.83,"[38, 39, 90, 91, 92, 93]"
321,321,1.06,1.93,0.41,0.43,3.82,"[10, 97, 98, 99, 100]"
322,322,1.44,1.37,0.73,0.27,3.81,"[35, 47, 48, 86, 87, 88]"
323,323,1.49,1.58,0.1,0.61,3.79,"[63, 64, 65, 66, 67, 68, 69]"
324,324,1.14,1.91,0.27,0.46,3.78,"[35, 47, 48, 86, 87, 88]"
325,325,2.4,1.03,0.0,0.36,3.78,"[27, 28, 94, 95, 96]"
326,326,1.82,1.24,0.47,0.25,3.77,[120]
327,327,1.4,1.4,0.1,0.87,3.77,"[10, 97, 98, 99, 100]"
328,328,1.98,1.47,0.0,0.32,3.76,"[74, 75, 76, 77, 78]"
329,329,2.03,1.56,0.0,0.17,3.76,
330,330,1.98,0.88,0.59,0.32,3.76,"[10, 97, 98, 99, 100]"
331,331,1.37,2.0,0.14,0.22,3.73,[108]
332,332,0.96,2.0,0.21,0.56,3.73,"[63, 64, 65, 66, 67, 68, 69]"
333,333,1.3,0.77,1.54,0.11,3.72,"[110, 111, 112, 113, 114]"
334,334,1.93,1.58,0.0,0.19,3.71,[109]
335,335,0.58,2.48,0.04,0.59,3.7,[106]
336,336,1.49,0.73,1.38,0.1,3.7,"[115, 116, 117]"
337,337,1.3,1.51,0.27,0.61,3.69,"[74, 75, 76, 77, 78]"
338,338,1.59,1.61,0.08,0.41,3.69,"[10, 97, 98, 99, 100]"
339,339,0.0,0.0,3.67,0.0,3.67,"[38, 39, 90, 91, 92, 93]"
340,340,2.13,1.18,0.01,0.35,3.67,
341,341,1.65,1.22,0.0,0.79,3.66,"[104, 105]"
342,342,1.87,1.13,0.55,0.1,3.65,"[115, 116, 117]"
343,343,2.53,0.81,0.06,0.24,3.65,
344,344,2.33,0.97,0.0,0.35,3.65,"[27, 28, 94, 95, 96]"
345,345,0.71,1.8,0.4,0.74,3.64,"[74, 75, 76, 77, 78]"
346,346,2.08,1.09,0.15,0.33,3.64,[108]
347,347,2.23,0.68,0.66,0.06,3.63,"[110, 111, 112, 113, 114]"
348,348,0.6,2.46,0.05,0.52,3.63,"[38, 39, 90, 91, 92, 93]"
349,349,0.05,0.0,0.64,2.93,3.63,"[10, 97, 98, 99, 100]"
350,350,1.78,1.42,0.05,0.38,3.63,"[74, 75, 76, 77, 78]"
351,351,2.08,0.83,0.46,0.25,3.62,"[104, 105]"
352,352,1.28,1.61,0.15,0.57,3.61,"[57, 58, 59, 60, 61, 62]"
353,353,1.93,1.22,0.03,0.44,3.61,[106]
354,354,2.05,1.4,0.0,0.16,3.61,[122]
355,355,2.02,1.17,0.0,0.42,3.61,[108]
356,356,1.61,1.5,0.1,0.39,3.61,"[10, 97, 98, 99, 100]"
357,357,2.38,0.67,0.46,0.1,3.6,[108]
358,358,2.18,1.02,0.03,0.37,3.59,"[104, 105]"
359,359,2.01,1.35,0.06,0.16,3.58,[109]
360,360,1.57,1.79,0.0,0.2,3.56,"[118, 119]"
361,361,1.56,1.4,0.07,0.5,3.54,"[12, 13, 52, 101, 102, 103]"
362,362,1.23,1.77,0.05,0.49,3.54,
363,363,1.66,1.58,0.12,0.18,3.54,"[118, 119]"
364,364,1.9,1.13,0.1,0.41,3.53,[108]
365,365,1.98,1.14,0.01,0.41,3.53,"[104, 105]"
366,366,2.14,1.08,0.02,0.29,3.53,"[74, 75, 76, 77, 78]"
367,367,0.71,2.4,0.02,0.4,3.53,"[50, 89]"
368,368,1.96,1.33,0.0,0.23,3.52,[109]
369,369,2.14,1.21,0.01,0.17,3.52,"[110, 111, 112, 113, 114]"
